stars,comment
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I wish I didn't waste money buying the budget Acer/Asus models first. This is my 3rd laptop in as many months and finally an excellent one!\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Wasn't planning on buying a labtop, but had to if I wanted to work from home. Found this one after a long search, and it came a day early. I like it so far, and I'm usually not a fan of DELL. The only thing is mine came with a CD/DVD drive which I don't mind at all. The laptop looked brand new no scratches ect. It also had the extra ram I picked and bigger hard drive.\n"", '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  The bootup is quite fast, exceeds my last laptop hands down.  I don't use the touch screen at all, so I didn't rate it.  Really seems like overkill on this machine.  I would have given it a 5 star rating except it does NOT have as USB C connection.  I was going to hook it up to a docking station but didn't realize that it did not have that capability.  I guess I should have looked closer.  Other users have complained about fan noise.  I do not have any issues with the fan.  Only occasionally can I even hear it.  I have been a Dell user for many years now and I have also had several other brands of laptops, but Dell is my preferred laptop.\n"", '\n  \n']"
3.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Speed is OK. Screen is lower end quality bad contrast washed out. I received a used unit not new as listed, Laptop works correctly after some updates were applied. Perhaps as like new should have been in the description.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I wish it would weight less and the surface for the mouse would feel smother under my fingers.', 'Everything else is fine. Thank you.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I'm very happy with the performance.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I usually wait awhile before writing reviews on computer equipment, but in 10-months, no issues and performs as expected.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  My purchase of this laptop has proven to be everything I had hoped for. I've had no problems since it arrived and setup was snap. I had some good technical advice from my son in the selection and he came through!\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Excellent item\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Product is used pacifically for person/business use only\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  It works great right out of the  box. Adding Microsoft Office Professional. Fast, quiet and responds fast.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Dell products are top of the heep!\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I, did not like it, because it din not work right.  Also when will, I receive my refund? It's been one month.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  My son has the same device snd I liked it but the silver keyboard was hard for me to see so wanted a silver case with black keyboard.  The contrast of white letterson black would be easier for me to see.  Picture showed that.  Nothing in description about keyboard except it was backlit.  Opened box and NO BLACK KEYBOARD.  Very disappointed.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Excellent PC. Works perfectly, is VERY fast. It was worth the money.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  so for so good , still setting it up\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I’ve used this laptop for a few weeks now. And can say it’s met what I needed it for so far!\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I love it\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  It does as advertised.  Quick connectivity via wifi.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n    ', '\n  Me sorprendio la rapidez y la practicidad, esta es mi primera laptop con pantalla tactil, me llevo un tiempo acostumbrarme de dejar de usar el mouse, muy liviana, puedo llevarlo tanto al cafe, al parque o a la cama, la betería con excelente vida útil. Para mi a sido una buena compra!\n', '\n  \n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Used for my daughter to go to college.  Works great\n', '\n  \n']"
3.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Meh.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Best money I have ever spent...love the backlight keyboard...works great and very fast...I would really recommend this product...\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  i like that it is very nice and the touchscreen make the computer more faster.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Works great so far!\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  It is for personal use.', 'Its everything I was looking for in a laptop.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Nice laptop had everything she needed. It was a Christmas gift\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  So far I love it!\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Battery runs out after 3-4 hours when started using fully charged.\n', '\n  \n']"
2.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  title description is different from actual product', 'less memory and half the hard drive\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Dell is the best! Amazing and this one isn't even an XPS."", 'Recipient was amazed by the speed.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Super fast shipping, product as expected\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  After about 2.5 months of using this laptop, I started to get the ""Blue screen of death"" error messages. Contacted the seller and got no response. It turned out that the the third-party extra memory that was added to the original Dell laptop was defective. I ended up spending more money to fix this through Dell, because it was not covered by manufacture warranty. This issue seams to be a very common with this retailer, so DON\'T BUY, unless you are willing to spend extra money on a brand new laptop!\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I ordered this laptop in December 2019 for my daughter's 18th birthday after 1 week it stopped working. To this date (02/17/2020) I have been back and forth with the seller to send me their information to ship back the item and to get a full refund. Don't waste your money\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  The laptop arrived on time and exactly as advertised. I plan on using it for writing, research and coding.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Not very happy with the screen's high density look. The new window's and office have been hard to implement, I have tried to adjust the settings, but still cannot get the system to perform as needed.\n"", '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Absolutely love it!\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Fast and perfect computer\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Good day.  I live in Argentina.  I bought the product from you in February.  A friend brought it to me in March from Miami and it broke a month (in April).  I bought it from Argentina.  At first it worked well.  But one day the hard drive failed and the windows blue screen went on.  It never worked again.  How can we solve this problem?  because I consider that they sold me a failed product.', ' I am looking forward to your response.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  It's light enough and was slightly overheating on first use, but the speed is great and SSD flies. Right now I cant fault the PC, save that I belong to that camp that doesn't understand the need of a touch screen laptop. I think it's a waste. Nonetheless Dell delivered as expected.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  This computer has an amazing processor. It is so fast and yet had a reasonable price. I'm very happy with it!\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  This worked as expected and is a really good value for a laptop that has a 2nd HD.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Great Product\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  It’s great!\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I got this as a gift from my best friend.  She went all out loading it with Ram and a Sata Drive. I cannot believe how fast it is.  As soon as I hit the last digit for my password (when signing in) BOOM! It loads.  It s backlit which is a God send.  It os super slim, and lightweight.  All of my laptops have had trouble ""WAITING FOR CACHE"" in Chrome.  No more.  Nothing ever gets hung up.  I never wait for a page to load.  The touch pad was odd, so I went in and re-set the whole thing and I NEVER have a problem with it anymore.  I went in to taskmanager and turned off things running in the background, and did the same in Settings.  (Open Settings. Click on Privacy. Click on Background apps. Under the ""Choose which apps can run in the background"" section, turn off the toggle switch for the apps you want to restrict)  So these made it faster also.  I use this thing sometmes 12 hours a day and it has been a joy. I am so happy the seller made this build possible.\n', '\n  \n']"
